n  p medianas  Classico    CalikTansel  CP1  CP2
1  5  1.282  2.772  1.004  6.171
2  5  1.104  2.269  0.566  4.212
3  5  1.303  1.941  1.132  6.133
4  5  1.151  2.891  1.069  2.757
5  5  2.065  3.294  0.686  5.144
6  5  1.065  1.853  0.554  1.818
7  5  1.284  3.332  0.845  5.524
8  5  1.284  2.727  1.268  6.856
9  5  1.191  1.767  0.678  2.562
10  5  0.961  1.096  0.696  0.909
11  5  1.956  2.49  1.146  6.388
12  5  0.903  1.811  0.708  5.383
13  5  1.338  2.294  1.197  6.794
14  5  1.232  2.321  1  4.069
15  5  1.45  2.773  2.177  5.17
16  5  2.037  3.282  1.378  5.011
17  5  1.612  2.177  0.663  2.48
18  5  0.942  1.948  1.039  4.503
19  5  0.92  2.11  0.547  1.593
20  5  1.04  1.973  0.843  0.954
21  5  16.587  12.092  5.683  37.908
22  5  9.63  14.561  7.332  58.666
23  5  10.403  15.965  8.49  40.72
24  5  17.762  13.103  7.139  64.022
25  5  9.124  9.106  7.302  40.29
26  5  10.661  9.18  2.884  26.934
27  5  9.918  10.08  3.539  25.656
28  5  10.318  17.558  9.202  43.617
29  5  9.069  15.035  8.919  51.328
30  5  7.973  15.73  7.807  31.504
31  5  14.812  11.828  7.373  35.738
32  5  10.425  10.232  6.679  41.512
33  5  13.249  13.976  7.046  55.637
34  5  21.065  13.462  9.617  46.593
35  5  13.078  18.204  8.774  43.865
36  5  13.301  13.863  4.829  30.382
37  5  16.799  12.388  5.339  34.737
38  5  7.996  12.791  3.001  36.476
39  5  11.918  10.653  5.102  36.017
40  5  12.317  18.825  6.623  38.333
